Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
prolactin,hormone,Prolactin acts primarily on the mammary gland by promoting lactation,,PRL,Developmental Biology,,"UniProt:P01236 PubMed:40599499,40599421,40590355,40590286,40586298 Reactome:R-HSA-1266738 ",
oxytocin,hormone,Neurophysin 1 specifically binds oxytocin,,OXT,Neuropeptide signaling,,"UniProt:P01178 PubMed:40598521,40597247,40596326,40580104,40565372 Reactome:R-HSA-1368082 ",
vasopressin,hormone,Specifically binds vasopressin,,AVP,Neuropeptide signaling,,"UniProt:P01185 PubMed:40581268,40569148,40564913,40551562,40535310 Reactome:R-HSA-1368082 ",AVP-NPII
leptin,hormone,"Key player in the regulation of energy balance and body weight control. Once released into the circulation, has central and peripheral effects by binding LEPR, found in many tissues, which results in the activation of several major signaling pathways (PubMed:15899045, PubMed:17344214, PubMed:19688109). In the hypothalamus, acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones. In the periphery, increases basal metabolism, influences reproductive function, regulates pancreatic beta-cell function and insulin secretion, is pro-angiogenic for endothelial cell and affects innate and adaptive immunity (By similarity) (PubMed:11460888, PubMed:19688109, PubMed:24340098, PubMed:25060689, PubMed:8589726). In the arcuate nucleus of the hypothalamus, activates by depolarization POMC neurons inducing FOS and SOCS3 expression to release anorexigenic peptides and inhibits by hyperpolarization NPY neurons inducing SOCS3 with a consequent reduction on release of orexigenic peptides (By similarity). In addition to its known satiety inducing effect, has a modulatory role in nutrient absorption. In the intestine, reduces glucose absorption by enterocytes by activating PKC and leading to a sequential activation of p38, PI3K and ERK signaling pathways which exerts an inhibitory effect on glucose absorption (PubMed:24340098). Acts as a growth factor on certain tissues, through the activation of different signaling pathways increases expression of genes involved in cell cycle regulation such as CCND1, via JAK2-STAT3 pathway, or VEGFA, via MAPK1/3 and PI3K-AKT1 pathways (By similarity) (PubMed:17344214). May also play an apoptotic role via JAK2-STAT3 pathway and up-regulation of BIRC5 expression (PubMed:18242580). Pro-angiogenic, has mitogenic activity on vascular endothelial cells and plays a role in matrix remodeling by regulating the expression of matrix metalloproteinases (MMPs) and tissue inhibitors of metalloproteinases (TIMPs) (PubMed:11460888). In innate immunity, modulates the activity and function of neutrophils by increasing chemotaxis and the secretion of oxygen radicals. Increases phagocytosis by macrophages and enhances secretion of pro-inflammatory mediators. Increases cytotoxic ability of NK cells (PubMed:12504075). Plays a pro-inflammatory role, in synergy with IL1B, by inducing NOS2 which promotes the production of IL6, IL8 and Prostaglandin E2, through a signaling pathway that involves JAK2, PI3K, MAP2K1/MEK1 and MAPK14/p38 (PubMed:15899045, PubMed:19688109). In adaptive immunity, promotes the switch of memory T-cells towards T helper-1 cell immune responses (By similarity). Increases CD4(+)CD25(-) T-cell proliferation and reduces autophagy during TCR (T-cell receptor) stimulation, through MTOR signaling pathway activation and BCL2 up-regulation (PubMed:25060689)",,LEP,Signaling by Leptin,,"UniProt:P41159 PubMed:40597485,40596030,40590369,40586327,40585323 Reactome:R-HSA-2586552 ","Obese protein, Obesity factor"
ghrelin,hormone,"Ghrelin is the ligand for growth hormone secretagogue receptor type 1 (GHSR) (PubMed:10604470). Induces the release of growth hormone from the pituitary (PubMed:10604470). Has an appetite-stimulating effect, induces adiposity and stimulates gastric acid secretion. Involved in growth regulation",,GHRL,Neuropeptide signaling,,"UniProt:Q9UBU3 PubMed:40601073,40595538,40587525,40564319,40552863 Reactome:R-HSA-1368082 ","Growth hormone secretagogue, Growth hormone-releasing peptide, Motilin-related peptide, Protein M46"
thyroid stimulating hormone,hormone,"Receptor for the thyroid-stimulating hormone (TSH) or thyrotropin (PubMed:11847099, PubMed:12045258). Also acts as a receptor for the heterodimeric glycoprotein hormone (GPHA2:GPHB5) or thyrostimulin (PubMed:12045258). The activity of this receptor is mediated by G proteins which activate adenylate cyclase (PubMed:11847099). Plays a central role in controlling thyroid cell metabolism (By similarity)",,TSHR,Developmental Biology,,"UniProt:P16473 PubMed:40600010,40599281,40599024,40598088,40597059 Reactome:R-HSA-1266738 ",Thyroid-stimulating hormone receptor
follicle stimulating hormone,hormone,"G protein-coupled receptor for follitropin, the follicle-stimulating hormone (PubMed:11847099, PubMed:24058690, PubMed:24692546). Through cAMP production activates the downstream PI3K-AKT and ERK1/ERK2 signaling pathways (PubMed:24058690)",,FSHR,Developmental Biology,,"UniProt:P23945 PubMed:40598218,40597965,40590303,40589620,40587267 Reactome:R-HSA-1266738 ",Follitropin receptor
luteinizing hormone,hormone,Receptor for lutropin-choriogonadotropic hormone (PubMed:11847099). The activity of this receptor is mediated by G proteins which activate adenylate cyclase (PubMed:11847099),,LHCGR,Developmental Biology,,"UniProt:P22888 PubMed:40598218,40597965,40595313,40590303,40590286 Reactome:R-HSA-1266738 ",Luteinizing hormone receptor
adrenocorticotropic hormone,hormone,"Hormone receptor primarily expressed in adrenal cortex that plays a key role in regulating adrenocortical function (PubMed:36588120). Upon corticotropin (ACTH) binding, facilitates the release of adrenal glucocorticoids, including cortisol and corticosterone. In addition, MC2R is required for fetal and neonatal adrenal gland development (By similarity). Mechanistically, activates adenylate cyclase (cAMP), the MAPK cascade as well as the cAMP-dependent protein kinase A pathway leading to steroidogenic factor 1/NR5A1-mediated transcriptional activation (By similarity)",,MC2R,Neuropeptide signaling,,"UniProt:Q01718 PubMed:40597717,40594483,40587685,40586400,40584406 Reactome:R-HSA-1368082 ","Adrenocorticotropin receptor, Melanocortin receptor 2"
aldosterone,hormone,"A cytochrome P450 monooxygenase that catalyzes the biosynthesis of aldosterone, the main mineralocorticoid in the human body responsible for salt and water homeostasis, thus involved in blood pressure regulation, arterial hypertension, and the development of heart failure (PubMed:11856349, PubMed:12530636, PubMed:1518866, PubMed:15356073, PubMed:1594605, PubMed:1775135, PubMed:22446688, PubMed:23322723, PubMed:9814482, PubMed:9814506). Catalyzes three sequential oxidative reactions of 11-deoxycorticosterone (21-hydroxyprogesterone), namely 11-beta hydroxylation, followed by two successive oxidations at C18 yielding 18-hydroxy and then 18-oxo intermediates (that would not leave the enzyme active site during the consecutive hydroxylation reactions), ending with the formation of aldosterone (PubMed:11856349, PubMed:12530636, PubMed:1518866, PubMed:1594605, PubMed:1775135, PubMed:22446688, PubMed:23322723, PubMed:9814506). Can also produce 18-hydroxycortisol and 18-oxocortisol, derived from successive oxidations of cortisol at C18, normally found at very low levels, but significantly increased in primary aldosteronism, the most common form of secondary hypertension (PubMed:15356073, PubMed:9814482). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate and reducing the second into a water molecule. Two electrons are provided by NADPH via a two-protein mitochondrial transfer system comprising flavoprotein FDXR (adrenodoxin/ferredoxin reductase) and nonheme iron-sulfur protein FDX1 or FDX2 (adrenodoxin/ferredoxin) (PubMed:11856349, PubMed:1594605, PubMed:23322723, PubMed:9814506). Could also be involved in the androgen metabolic pathway (Probable)",,CYP11B2,Mineralocorticoid receptor pathway,,"UniProt:P19099 PubMed:40564239,40560995,40556120,40551885,40545362 Reactome:R-HSA-196071 ","Aldosterone synthase, Aldosterone-synthesizing enzyme, CYPXIB2, Corticosterone 18-monooxygenase, CYP11B2, Cytochrome P-450Aldo, Cytochrome P-450C18, Steroid 11-beta-hydroxylase, CYP11B2, Steroid 18-hydroxylase"
