Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
chondrocyte,cell,"Lectin that binds chitooligosaccharides and other glycans with high affinity, but not heparin. Has no chitinase activity",Cartilage,CHI3L2,Extracellular matrix organization,,"UniProt:Q15782 PubMed:40595596,40593743,40584336,40577622,40576283 Reactome:R-HSA-1474244 ","Chondrocyte protein 39, YKL-39"
myocyte,cell,"Transcription activator which binds specifically to the MEF2 element present in the regulatory regions of many muscle-specific genes. Controls cardiac morphogenesis and myogenesis, and is also involved in vascular development. Enhances transcriptional activation mediated by SOX18. Plays an essential role in hippocampal-dependent learning and memory by suppressing the number of excitatory synapses and thus regulating basal and evoked synaptic transmission. Crucial for normal neuronal development, distribution, and electrical activity in the neocortex. Necessary for proper development of megakaryocytes and platelets and for bone marrow B-lymphopoiesis. Required for B-cell survival and proliferation in response to BCR stimulation, efficient IgG1 antibody responses to T-cell-dependent antigens and for normal induction of germinal center B-cells. May also be involved in neurogenesis and in the development of cortical architecture (By similarity). Isoforms that lack the repressor domain are more active than isoform 1",Muscle,MEF2C,Muscle contraction,,"UniProt:Q06413 PubMed:40599691,40599192,40598158,40597225,40595388 Reactome:R-HSA-397014 ",Myocyte enhancer factor 2C
keratinocyte,cell,Plays a role in the regulation of the epidermis formation during early development. Required both as an inhibitor of basal cell proliferation and a promoter of differentiation of basal progenitor cell progeny (By similarity),Skin,KDF1,Extracellular matrix organization,,"UniProt:Q8NAX2 PubMed:40600176,40598483,40595397,40594204,40593496 Reactome:R-HSA-1474244 ",
melanocyte,cell,Transcriptional coactivator of the p300/CBP-mediated transcription complex. Enhances SMAD-mediated transcription by strengthening the functional link between the DNA-binding SMAD transcription factors and the p300/CBP transcription coactivator complex. Stimulates estrogen-dependent transactivation activity mediated by estrogen receptors signaling; stabilizes the interaction of estrogen receptor ESR1 and histone acetyltransferase EP300. Positively regulates TGF-beta signaling through its association with the SMAD/p300/CBP-mediated transcriptional coactivator complex. Induces transcription from estrogen-responsive promoters and protection against cell death. Potentiates EGR2-mediated transcriptional activation activity from the ERBB2 promoter. Acts as an inhibitor of osteoblastic mineralization through a cAMP-dependent parathyroid hormone receptor signaling. May play a role in pigmentation of melanocytes. Associates with chromatin to the estrogen-responsive TGF-alpha promoter region in a estrogen-dependent manner,Skin,CITED1,Extracellular matrix organization,,"UniProt:Q99966 PubMed:40598483,40595665,40594379,40586969,40569051 Reactome:R-HSA-1474244 ",Melanocyte-specific protein 1
enterocyte,cell,Has no ubiquitin ligase activity on its own. The UBE2V2/UBE2N heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'. This type of poly-ubiquitination does not lead to protein degradation by the proteasome. Mediates transcriptional activation of target genes. Plays a role in the control of progress through the cell cycle and differentiation. Plays a role in the error-free DNA repair pathway and contributes to the survival of cells after DNA damage,Intestine,UBE2V2,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,"UniProt:Q15819 PubMed:40596796,40553760,40530731,40501768,40478886 Reactome:R-HSA-163359 ","DDVit 1, Enterocyte differentiation-associated factor 1, Enterocyte differentiation-promoting factor 1, MMS2 homolog, Vitamin D3-inducible protein"
pneumocyte,cell,May be involved in processing of pneumocyte surfactant precursors,Lung,NAPSA,Erythrocytes take up carbon dioxide and release oxygen,,"UniProt:O96009 PubMed:40601149,40595111,40594193,40593802,40592324 Reactome:R-HSA-1247673 ","Aspartyl protease 4, Napsin-1, TA01/TA02"
nephron,cell,"Transcription factor that plays an important role in the development of several organs, including kidney, skull and stomach. During kidney development, maintains cap mesenchyme multipotent nephron progenitor cells in an undifferentiated state by opposing the inductive signals emanating from the ureteric bud and cooperates with WNT9B to promote renewing progenitor cells proliferation. Acts through its interaction with TCF7L2 and OSR1 in a canonical Wnt signaling independent manner preventing transcription of differentiation genes in cap mesenchyme such as WNT4. Also acts independently of OSR1 to activate expression of many cap mesenchyme genes, including itself, GDNF and OSR1. During craniofacial development plays a role in growth and elongation of the cranial base through regulation of chondrocyte differentiation. During stomach organogenesis, controls pyloric sphincter formation and mucosal growth through regulation of a gene network including NKX2-5, BMPR1B, BMP4, SOX9 and GREM1. During branchial arch development, acts to mediate HOXA2 control over the insulin-like growth factor pathway. May also be involved in limb tendon and ligament development (By similarity). Plays a role in cell proliferation and migration",Kidney,SIX2,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,"UniProt:Q9NPC8 PubMed:40597777,40593882,40592335,40587395,40571581 Reactome:R-HSA-163359 ",Sine oculis homeobox homolog 2
beta cell,cell,"Constant region of T cell receptor (TR) beta chain (PubMed:24600447). Alpha-beta T cell receptors are antigen specific receptors which are essential to the immune response and are present on the cell surface of T lymphocytes. Recognize peptide-major histocompatibility (MH) (pMH) complexes that are displayed by antigen presenting cells (APC), a prerequisite for efficient T cell adaptive immunity against pathogens (PubMed:25493333). Binding of alpha-beta TR to pMH complex initiates TR-CD3 clustering on the cell surface and intracellular activation of LCK that phosphorylates the ITAM motifs of CD3G, CD3D, CD3E and CD247 enabling the recruitment of ZAP70. In turn, ZAP70 phosphorylates LAT, which recruits numerous signaling molecules to form the LAT signalosome. The LAT signalosome propagates signal branching to three major signaling pathways, the calcium, the mitogen-activated protein kinase (MAPK) kinase and the nuclear factor NF-kappa-B (NF-kB) pathways, leading to the mobilization of transcription factors that are critical for gene expression and essential for T cell growth and differentiation (PubMed:23524462, PubMed:9382891). The T cell repertoire is generated in the thymus, by V-(D)-J rearrangement. This repertoire is then shaped by intrathymic selection events to generate a peripheral T cell pool of self-MH restricted, non-autoaggressive T cells. Post-thymic interaction of alpha-beta TR with the pMH complexes shapes TR structural and functional avidity (PubMed:15040585)",Pancreas,TRBC1,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,"UniProt:P01850 PubMed:40600980,40600856,40600565,40600549,40599791 Reactome:R-HSA-163359 ",
alpha cell,cell,"Constant region of T cell receptor (TR) alpha chain (PubMed:24600447). Alpha-beta T cell receptors are antigen specific receptors which are essential to the immune response and are present on the cell surface of T lymphocytes. Recognize peptide-major histocompatibility (MH) (pMH) complexes that are displayed by antigen presenting cells (APC), a prerequisite for efficient T cell adaptive immunity against pathogens (PubMed:25493333). Binding of alpha-beta TR to pMH complex initiates TR-CD3 clustering on the cell surface and intracellular activation of LCK that phosphorylates the ITAM motifs of CD3G, CD3D, CD3E and CD247 enabling the recruitment of ZAP70. In turn, ZAP70 phosphorylates LAT, which recruits numerous signaling molecules to form the LAT signalosome. The LAT signalosome propagates signal branching to three major signaling pathways, the calcium, the mitogen-activated protein kinase (MAPK) kinase and the nuclear factor NF-kappa-B (NF-kB) pathways, leading to the mobilization of transcription factors that are critical for gene expression and essential for T cell growth and differentiation (PubMed:23524462). The T cell repertoire is generated in the thymus, by V-(D)-J rearrangement. This repertoire is then shaped by intrathymic selection events to generate a peripheral T cell pool of self-MH restricted, non-autoaggressive T cells. Post-thymic interaction of alpha-beta TR with the pMH complexes shapes TR structural and functional avidity (PubMed:15040585)",Pancreas,TRAC,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,"UniProt:P01848 PubMed:40601129,40601072,40600845,40599284,40599052 Reactome:R-HSA-163359 ",
dendritic cell,cell,Binds with and transactivates the corticotropin-releasing hormone (CRH) promoter,Immune system,DCANP1,Innate Immune System,,"UniProt:Q8TF63 PubMed:40600891,40598454,40598254,40596223,40594700 Reactome:R-HSA-168249 ","Dendritic cell nuclear protein-1, Dendritic cell-associated nuclear protein"
macrophage,cell,"Regulates the macrophage function, by enhancing the resolution of inflammation and wound repair functions mediated by M2 macrophages (PubMed:30659109). The regulation of macrophage function is, due at least in part, to its ability to inhibit glycolysis (PubMed:30659109). May also play a role in trafficking of proteins via its interaction with UNC119 and UNC119B cargo adapters: may help the release of UNC119 and UNC119B cargo or the recycling of UNC119 and UNC119B (PubMed:22085962). May play a role in ciliary membrane localization via its interaction with UNC119B and protein transport into photoreceptor cells (PubMed:22085962)",Immune system,MACIR,Innate Immune System,,"UniProt:Q96GV9 PubMed:40601026,40599284,40599159,40599139,40598825 Reactome:R-HSA-168249 ",
lymphocyte,cell,"May be involved in vesicular trafficking from the Golgi apparatus to the cell membrane. Plays a role in the maintenance of the myelin sheath, and in axon-glia and glia-glia interactions",Immune system,MAL,Innate Immune System,,"UniProt:P21145 PubMed:40601026,40600428,40599850,40599791,40599773 Reactome:R-HSA-168249 ",T-lymphocyte maturation-associated protein
platelet,cell,"Tyrosine-protein kinase that acts as a cell-surface receptor for PDGFA, PDGFB and PDGFC and plays an essential role in the regulation of embryonic development, cell proliferation, survival and chemotaxis. Depending on the context, promotes or inhibits cell proliferation and cell migration. Plays an important role in the differentiation of bone marrow-derived mesenchymal stem cells. Required for normal skeleton development and cephalic closure during embryonic development. Required for normal development of the mucosa lining the gastrointestinal tract, and for recruitment of mesenchymal cells and normal development of intestinal villi. Plays a role in cell migration and chemotaxis in wound healing. Plays a role in platelet activation, secretion of agonists from platelet granules, and in thrombin-induced platelet aggregation. Binding of its cognate ligands - homodimeric PDGFA, homodimeric PDGFB, heterodimers formed by PDGFA and PDGFB or homodimeric PDGFC -leads to the activation of several signaling cascades; the response depends on the nature of the bound ligand and is modulated by the formation of heterodimers between PDGFRA and PDGFRB. Phosphorylates PIK3R1, PLCG1, and PTPN11. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate, mobilization of cytosolic Ca(2+) and the activation of protein kinase C. Phosphorylates PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, and thereby mediates activation of the AKT1 signaling pathway. Mediates activation of HRAS and of the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3 and STAT5A and/or STAT5B. Receptor signaling is down-regulated by protein phosphatases that dephosphorylate the receptor and its down-stream effectors, and by rapid internalization of the activated receptor",Blood,PDGFRA,Hemostasis,,"UniProt:P16234 PubMed:40598301,40597299,40596072,40594956,40594228 Reactome:R-HSA-109582 ","Alpha platelet-derived growth factor receptor, Alpha-type platelet-derived growth factor receptor, CD140 antigen-like family member A, CD140a antigen, Platelet-derived growth factor alpha receptor, Platelet-derived growth factor receptor 2"
stem cell,cell,May be involved in the regulation of cell proliferation. Has a cell-proliferation inhibition activity in vitro,Various tissues,PSCA,Signal Transduction,,"UniProt:O43653 PubMed:40601242,40601185,40601158,40601157,40600980 Reactome:R-HSA-162582 ",
