Name,Type,Function,Location,Related molecules,Related systems,Diseases/dysfunctions,Source links,Synonyms
leucine,amino_acid,"Aminoacyl-tRNA synthetase that catalyzes the specific attachment of leucine to its cognate tRNA (tRNA(Leu)) (PubMed:25051973, PubMed:32232361). It performs tRNA aminoacylation in a two-step reaction: Leu is initially activated by ATP to form a leucyl-adenylate (Leu-AMP) intermediate; then the leucyl moiety is transferred to the acceptor 3' end of the tRNA to yield leucyl-tRNA (PubMed:25051973). To improve the fidelity of catalytic reactions, it is also able to hydrolyze misactivated aminoacyl-adenylate intermediates (pre-transfer editing) and mischarged aminoacyl-tRNAs (post-transfer editing) (PubMed:25051973)",,", LARS1",Amino acid metabolism,,"UniProt:Q9P2J5 PubMed:40598613,40597620,40597552,40596988,40593179 Reactome:R-HSA-352230 ",Leucyl-tRNA synthetase
lysine,amino_acid,"Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction: the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA (PubMed:18029264, PubMed:18272479, PubMed:9278442). When secreted, acts as a signaling molecule that induces immune response through the activation of monocyte/macrophages (PubMed:15851690). Catalyzes the synthesis of the signaling molecule diadenosine tetraphosphate (Ap4A), and thereby mediates disruption of the complex between HINT1 and MITF and the concomitant activation of MITF transcriptional activity (PubMed:14975237, PubMed:19524539, PubMed:23159739, PubMed:5338216)",,", KARS1",Amino acid metabolism,,"UniProt:Q15046 PubMed:40601258,40601006,40596457,40595035,40594208 Reactome:R-HSA-352230 ",Lysyl-tRNA synthetase
methionine,amino_acid,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine,,", MSRA",Amino acid metabolism,,"UniProt:Q9UJ68 PubMed:40601038,40598198,40597552,40594503,40593957 Reactome:R-HSA-352230 ","Peptide-methionine (S)-S-oxide reductase, Protein-methionine-S-oxide reductase"
phenylalanine,amino_acid,Catalyzes the hydroxylation of L-phenylalanine to L-tyrosine,,", PAH",Amino acid metabolism,,"UniProt:P00439 PubMed:40601006,40599406,40597991,40597540,40596295 Reactome:R-HSA-352230 ",Phe-4-monooxygenase
proline,amino_acid,Converts proline to delta-1-pyrroline-5-carboxylate,,", PRODH",Amino acid metabolism,,"UniProt:O43272 PubMed:40599755,40599406,40597548,40596988,40596486 Reactome:R-HSA-352230 ","Proline oxidase, Proline oxidase 2, p53-induced gene 6 protein"
serine,amino_acid,"Heparin-dependent serine protease inhibitor acting in body fluids and secretions. Inactivates serine proteases by binding irreversibly to their serine activation site. Involved in the regulation of intravascular and extravascular proteolytic activities. Plays hemostatic roles in the blood plasma. Acts as a procoagulant and pro-inflammatory factor by inhibiting the anticoagulant activated protein C factor as well as the generation of activated protein C factor by the thrombin/thrombomodulin complex. Acts as an anticoagulant factor by inhibiting blood coagulation factors like prothrombin, factor XI, factor Xa, plasma kallikrein and fibrinolytic enzymes such as tissue- and urinary-type plasminogen activators. In seminal plasma, inactivates several serine proteases implicated in the reproductive system. Inhibits the serpin acrosin; indirectly protects component of the male genital tract from being degraded by excessive released acrosin. Inhibits tissue- and urinary-type plasminogen activator, prostate-specific antigen and kallikrein activities; has a control on the sperm motility and fertilization. Inhibits the activated protein C-catalyzed degradation of SEMG1 and SEMG2; regulates the degradation of semenogelin during the process of transfer of spermatozoa from the male reproductive tract into the female tract. In urine, inhibits urinary-type plasminogen activator and kallikrein activities. Inactivates membrane-anchored serine proteases activities such as MPRSS7 and TMPRSS11E. Inhibits urinary-type plasminogen activator-dependent tumor cell invasion and metastasis. May also play a non-inhibitory role in seminal plasma and urine as a hydrophobic hormone carrier by its binding to retinoic acid",,", SERPINA5",Amino acid metabolism,,"UniProt:P05154 PubMed:40599406,40598535,40597568,40597540,40596262 Reactome:R-HSA-352230 ","Acrosomal serine protease inhibitor, Plasminogen activator inhibitor 3, Protein C inhibitor, Serpin A5"
threonine,amino_acid,"Protease responsible for KMT2A/MLL1 processing and activation (PubMed:14636557). It also activates KMT2D/MLL2 (By similarity). Through substrate activation, it controls the expression of HOXA genes, and the expression of key cell cycle regulators including CCNA1, CCNB1, CCNE1 and CDKN2A (By similarity) (PubMed:14636557)",,", TASP1",Amino acid metabolism,,"UniProt:Q9H6P5 PubMed:40599406,40597568,40597552,40597540,40596262 Reactome:R-HSA-352230 ",
tryptophan,amino_acid,Heme-dependent dioxygenase that catalyzes the oxidative cleavage of the L-tryptophan (L-Trp) pyrrole ring and converts L-tryptophan to N-formyl-L-kynurenine. Catalyzes the oxidative cleavage of the indole moiety,,", TDO2",Amino acid metabolism,,"UniProt:P48775 PubMed:40601006,40600293,40599601,40597568,40597515 Reactome:R-HSA-352230 ","Tryptamin 2,3-dioxygenase, Tryptophan oxygenase, Tryptophan pyrrolase, Tryptophanase"
tyrosine,amino_acid,"Non-receptor tyrosine-protein kinase that transmits signals from cell surface receptors and plays an important role in the regulation of innate and adaptive immune responses, hematopoiesis, responses to growth factors and cytokines, integrin signaling, but also responses to DNA damage and genotoxic agents. Functions primarily as negative regulator, but can also function as activator, depending on the context. Required for the initiation of the B-cell response, but also for its down-regulation and termination. Plays an important role in the regulation of B-cell differentiation, proliferation, survival and apoptosis, and is important for immune self-tolerance. Acts downstream of several immune receptors, including the B-cell receptor, CD79A, CD79B, CD5, CD19, CD22, FCER1, FCGR2, FCGR1A, TLR2 and TLR4. Plays a role in the inflammatory response to bacterial lipopolysaccharide. Mediates the responses to cytokines and growth factors in hematopoietic progenitors, platelets, erythrocytes, and in mature myeloid cells, such as dendritic cells, neutrophils and eosinophils. Acts downstream of EPOR, KIT, MPL, the chemokine receptor CXCR4, as well as the receptors for IL3, IL5 and CSF2. Plays an important role in integrin signaling. Regulates cell proliferation, survival, differentiation, migration, adhesion, degranulation, and cytokine release. Involved in the regulation of endothelial activation, neutrophil adhesion and transendothelial migration (PubMed:36932076). Down-regulates signaling pathways by phosphorylation of immunoreceptor tyrosine-based inhibitory motifs (ITIM), that then serve as binding sites for phosphatases, such as PTPN6/SHP-1, PTPN11/SHP-2 and INPP5D/SHIP-1, that modulate signaling by dephosphorylation of kinases and their substrates. Phosphorylates LIME1 in response to CD22 activation. Phosphorylates BTK, CBL, CD5, CD19, CD72, CD79A, CD79B, CSF2RB, DOK1, HCLS1, LILRB3/PIR-B, MS4A2/FCER1B, SYK and TEC. Promotes phosphorylation of SIRPA, PTPN6/SHP-1, PTPN11/SHP-2 and INPP5D/SHIP-1. Mediates phosphorylation of the BCR-ABL fusion protein. Required for rapid phosphorylation of FER in response to FCER1 activation. Mediates KIT phosphorylation. Acts as an effector of EPOR (erythropoietin receptor) in controlling KIT expression and may play a role in erythroid differentiation during the switch between proliferation and maturation. Depending on the context, activates or inhibits several signaling cascades. Regulates phosphatidylinositol 3-kinase activity and AKT1 activation. Regulates activation of the MAP kinase signaling cascade, including activation of MAP2K1/MEK1, MAPK1/ERK2, MAPK3/ERK1, MAPK8/JNK1 and MAPK9/JNK2. Mediates activation of STAT5A and/or STAT5B. Phosphorylates LPXN on 'Tyr-72'. Kinase activity facilitates TLR4-TLR6 heterodimerization and signal initiation. Phosphorylates SCIMP on 'Tyr-107'; this enhances binding of SCIMP to TLR4, promoting the phosphorylation of TLR4, and a selective cytokine response to lipopolysaccharide in macrophages (By similarity). Phosphorylates CLNK (By similarity). Phosphorylates BCAR1/CAS and NEDD9/HEF1 (PubMed:9020138)",,", LYN",Amino acid metabolism,,"UniProt:P07948 PubMed:40601006,40598894,40596988,40595665,40594918 Reactome:R-HSA-352230 ","Lck/Yes-related novel protein tyrosine kinase, V-yes-1 Yamaguchi sarcoma viral related oncogene homolog, p53Lyn, p56Lyn"
valine,amino_acid,Catalyzes the attachment of valine to tRNA(Val),,", VARS1",Amino acid metabolism,,"UniProt:P26640 PubMed:40597620,40596988,40596600,40593179,40576039 Reactome:R-HSA-352230 ","Protein G7a, Valyl-tRNA synthetase"
